"rgn_id","sector","year","wage_usd"
78,"Acuicultura",2021,7836457.4128
78,"Transporte",2021,0
79,"Alojamiento",2021,0
79,"Pesca",2021,0
83,"Alojamiento",2021,0
83,"Pesca",2021,4744155.3712
85,"Alojamiento",2021,0
86,"Alojamiento",2021,0
86,"Turismo",2021,0
88,"Alojamiento",2021,0
88,"Pesca",2021,57934336.9456
89,"Alojamiento",2021,0
89,"Pesca",2021,0
92,"Alojamiento",2021,0
93,"Acuicultura",2021,0
93,"Alojamiento",2021,0
94,"Pesca",2021,0
95,"Alojamiento",2021,0
95,"Pesca",2021,1413993.7984
99,"Acuicultura",2021,24623896.4688
99,"Alojamiento",2021,0
99,"Pesca",2021,6884743.6832
99,"Transporte",2021,1465690.6048
99,"Turismo",2021,0
100,"Alojamiento",2021,0
100,"Pesca",2021,924950.3904
100,"Transporte",2021,0
100,"Turismo",2021,0
102,"Alojamiento",2021,0
102,"Turismo",2021,0
