"rgn_id","specie","trend"
19,"Charadrius modestus","Decreciendo"
19,"Coscoroba coscoroba","Decreciendo"
19,"Cygnus melancoryphus","Decreciendo"
19,"Falco peregrinus","Estable"
19,"Haematopus palliatus","Estable"
19,"Larosterna inca","Estable"
19,"Leucocarbo bougainvillii","Estable"
19,"Leucophaeus modestus","Decreciendo"
19,"Leucophaeus pipixcan","Decreciendo"
19,"Macronectes giganteus","Decreciendo"
19,"Numenius phaeopus","Estable"
19,"Pelecanoides garnotii","Creciendo"
19,"Pelecanus thagus","Creciendo"
19,"Phalacrocorax gaimardi","Decreciendo"
19,"Phoenicopterus chilensis","Estable"
19,"Plegadis chihi","Decreciendo"
19,"Puffinus creatopus","Decreciendo"
19,"Puffinus griseus","Decreciendo"
19,"Spheniscus humboldti","Estable"
19,"Sula variegata","Decreciendo"
19,"Thalassarche melanophris","Estable"
19,"Thalasseus elegans","Estable"
19,"Tringa flavipes","Estable"
20,"Charadrius modestus","Decreciendo"
20,"Charadrius nivosus","Decreciendo"
20,"Chloephaga hybrida","Decreciendo"
20,"Coscoroba coscoroba","Decreciendo"
20,"Concholepas concholepas","Decreciendo"
20,"Cygnus melancoryphus","Decreciendo"
20,"Diomedea exulans","Estable"
20,"Durvillaea antarctica","Estable"
20,"Eleginops maclovinus","Decreciendo"
20,"Ensis macha","Estable"
20,"Falco peregrinus","Estable"
20,"Geranoaetus melanoleucus","Estable"
20,"Haematopus palliatus","Estable"
20,"Heteronetta atricapilla","Estable"
20,"Ixobrychus involucris","Creciendo"
20,"Leucophaeus modestus","Decreciendo"
20,"Leucophaeus pipixcan","Decreciendo"
20,"Macronectes giganteus","Decreciendo"
20,"Mesodesma donacium","Decreciendo"
20,"Mytilus chilensis","Estable"
20,"Numenius phaeopus","Estable"
20,"Pelecanus thagus","Creciendo"
20,"Phalacrocorax gaimardi","Decreciendo"
20,"Phoenicopterus chilensis","Estable"
20,"Plegadis chihi","Decreciendo"
20,"Puffinus creatopus","Decreciendo"
20,"Puffinus griseus","Decreciendo"
20,"Speculanas specularis","Decreciendo"
20,"Spheniscus humboldti","Estable"
20,"Sula variegata","Decreciendo"
20,"Tachyeres pteneres","Decreciendo"
20,"Thalassarche melanophris","Estable"
20,"Thalassarche salvini","Creciendo"
20,"Tringa flavipes","Estable"
20,"Zearaja chilensis","Estable"
21,"Ameghinomya antiqua","Estable"
21,"Aulacomya atra","Estable"
21,"Chloephaga hybrida","Decreciendo"
21,"Coscoroba coscoroba","Decreciendo"
21,"Cygnus melancoryphus","Decreciendo"
21,"Desmophyllum dianthus","Decreciendo"
21,"Diomedea epomophora","Decreciendo"
21,"Diomedea exulans","Estable"
21,"Durvillaea antarctica","Estable"
21,"Enteroctopus megalocyathus","Decreciendo"
21,"Eubalaena australis","Decreciendo"
21,"Geranoaetus melanoleucus","Estable"
21,"Haematopus palliatus","Estable"
21,"Lagenorhynchus australis","Estable"
21,"Lagenorhynchus obscurus","Estable"
21,"Larosterna inca","Estable"
21,"Leucophaeus pipixcan","Decreciendo"
21,"Lontra felina","Estable"
21,"Lontra provocax","Decreciendo"
21,"Macronectes giganteus","Decreciendo"
21,"Megaptera novaeangliae","Creciendo"
21,"Mirounga leonina","Creciendo"
21,"Mulinia edulis","Estable"
21,"Mytilus chilensis","Estable"
21,"Numenius phaeopus","Estable"
21,"Orcinus orca","Decreciendo"
21,"Ostrea chilensis","Decreciendo"
21,"Otaria byronia","Estable"
21,"Pelecanus thagus","Creciendo"
21,"Phalacrocorax gaimardi","Decreciendo"
21,"Phoenicopterus chilensis","Estable"
21,"Puffinus creatopus","Decreciendo"
21,"Puffinus griseus","Decreciendo"
21,"Sarcopeltis skottsbergii","Estable"
21,"Tachyeres patachonicus","Estable"
21,"Tachyeres pteneres","Decreciendo"
21,"Tagelus dombeii","Decreciendo"
21,"Tawera elliptica","Decreciendo"
21,"Thalassarche melanophris","Estable"
21,"Tursiops truncatus","Decreciendo"
21,"Vultur gryphus","Estable"
22,"Charadrius collaris","Decreciendo"
22,"Charadrius modestus","Decreciendo"
22,"Coscoroba coscoroba","Decreciendo"
22,"Cygnus melancoryphus","Decreciendo"
22,"Diomedea epomophora","Decreciendo"
