"rgn_id","Sector","year","jobs"
54,"Acuicultura","2019",2
54,"Alojamiento","2019",90
54,"Pesca","2019",22
54,"Turismo","2019",2
55,"Acuicultura","2019",33
55,"Alojamiento","2019",11
55,"Pesca","2019",1144
55,"Transporte","2019",140
56,"Acuicultura","2019",1
56,"Alojamiento","2019",71
56,"Pesca","2019",15
56,"Transporte","2019",71
56,"Turismo","2019",0
57,"Acuicultura","2019",274
57,"Alojamiento","2019",3
57,"Pesca","2019",97
57,"Transporte","2019",0
57,"Turismo","2019",0
58,"Acuicultura","2019",91
58,"Alojamiento","2019",26
58,"Pesca","2019",174
58,"Transporte","2019",11
59,"Acuicultura","2019",849
59,"Alojamiento","2019",340
59,"Pesca","2019",1406
